"","id","experiment_id","channel_id","time","od_led","od_value","od_raw","od_repeats","intensity","flash","background","temperature","batchtime_h","od_corr","dilution"
"14940",14940,1,4,"2023-03-16 16:00:00",720,0.15533459186554,0.15533459186554,2,0,2108,1,28.9996147155762,234.25,0.16089880008817,0
"14941",14941,1,5,"2023-03-16 16:00:00",720,0.178994312882423,0.178994312882423,2,0,1989,1,28.9996147155762,234.25,0.185950931744914,0
"14942",14942,1,6,"2023-03-16 16:00:00",720,0.0600139498710632,0.0600139498710632,2,0,2626,1,28.9996147155762,234.25,0.0626771372560664,0
"14943",14943,1,7,"2023-03-16 16:00:00",720,0.196564823389053,0.196564823389053,2,0,1900,1,28.9996147155762,234.25,0.204837050554209,0
"14944",14944,1,8,"2023-03-16 16:00:00",720,0.0363695621490479,0.0363695621490479,2,0,2760,1,28.9996147155762,234.25,0.0381414371204254,NA
"14945",14945,1,1,"2023-03-16 16:15:00",680,0.211981251835823,0.211981251835823,2,0,1835,1,28.9996147155762,234.5,0.193463178767545,NA
"14946",14946,1,2,"2023-03-16 16:15:00",680,0.194899916648865,0.194899916648865,2,0,1929,1,28.9996147155762,234.5,0.177967279026032,NA
"14947",14947,1,3,"2023-03-16 16:15:00",680,0.204091146588326,0.204091146588326,2,0,1883,1,28.9996147155762,234.5,0.18629603448731,NA
"14948",14948,1,4,"2023-03-16 16:15:00",680,0.166166573762894,0.166166573762894,2,0,2037,1,28.9996147155762,234.5,0.152048652194594,NA
"14949",14949,1,5,"2023-03-16 16:15:00",680,0.250815808773041,0.250815808773041,2,0,1677,1,28.9996147155762,234.5,0.229011602912376,NA
"14950",14950,1,6,"2023-03-16 16:15:00",680,0.0853926166892052,0.0853926166892052,2,0,2477,1,28.9996147155762,234.5,0.0794552659874958,NA
"14951",14951,1,7,"2023-03-16 16:15:00",680,0.238166615366936,0.238166615366936,2,0,1730,1,28.9996147155762,234.5,0.217379235889654,NA
"14952",14952,1,8,"2023-03-16 16:15:00",680,0.0663892477750778,0.0663892477750778,2,0,2562,1,28.9996147155762,234.5,0.0621664042371317,NA
"14953",14953,1,1,"2023-03-16 16:15:00",720,0.190193653106689,0.190193653106689,2,0,1930,1,28.9996147155762,234.5,0.197959214833094,0
"14954",14954,1,2,"2023-03-16 16:15:00",720,0.181548669934273,0.181548669934273,2,0,1978,1,28.9996147155762,234.5,0.188680866592491,0
"14955",14955,1,3,"2023-03-16 16:15:00",720,0.195551007986069,0.195551007986069,2,0,1914,1,28.9996147155762,234.5,0.203740293764591,0
"14956",14956,1,4,"2023-03-16 16:15:00",720,0.15430523455143,0.15430523455143,2,0,2113,1,28.9996147155762,234.5,0.159817866992315,0
"14957",14957,1,5,"2023-03-16 16:15:00",720,0.182283595204353,0.182283595204353,2,0,1974,1,28.9996147155762,234.5,0.189467271188296,0
"14958",14958,1,6,"2023-03-16 16:15:00",720,0.0596831813454628,0.0596831813454628,2,0,2628,1,28.9996147155762,234.5,0.0623370623798061,0
"14959",14959,1,7,"2023-03-16 16:15:00",720,0.199548110365868,0.199548110365868,2,0,1887,1,28.9996147155762,234.5,0.208069569049615,0
"14960",14960,1,8,"2023-03-16 16:15:00",720,0.0369996391236782,0.0369996391236782,2,0,2756,1,28.9996147155762,234.5,0.0388036191805943,NA
"14961",14961,1,1,"2023-03-16 16:30:00",680,0.213879823684692,0.213879823684692,2,0,1827,1,28.9996147155762,234.75,0.195190330035428,NA
"14962",14962,1,2,"2023-03-16 16:30:00",680,0.199428558349609,0.199428558349609,2,0,1909,1,28.9996147155762,234.75,0.182068348278282,NA
"14963",14963,1,3,"2023-03-16 16:30:00",680,0.205941155552864,0.205941155552864,2,0,1875,1,28.9996147155762,234.75,0.187975034759578,NA
